Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
67703e98-17ea-3706-aef7-e1eb628dfedd,Evangelisches Klinikum Bethel (EvKB) - Haus Mosesberg - Klinik für Kinder- und Jugendpsychiatrie und Psychotherapie,Remterweg 13a,Bielefeld,Nordrhein-westfalen,33604,52.0081306,8.5322284,+49 521 772-76930,125750.0,1191
f9cfdbd8-3f69-3b07-9219-129af061acb3,Frauenklinik Dr. Hartog,Kiskerstraße 15,Bielefeld,Nordrhein-westfalen,33604,52.023177,8.5214898,,1186050.0,11859
1a0f2120-ddd9-3d26-ad7e-a7f140c5b94a,Jabbok Haus 1-3,Karl-Siebold-Weg 44,Bielefeld,Nordrhein-westfalen,33604,52.0027825,8.5333355,,172200.0,1692
aa85a4ac-d0e8-3334-b870-ee4e0af7de2f,Klinikum Bielefeld Mitte,Teutoburger Straße 50,Bielefeld,Nordrhein-westfalen,33604,52.0125062,8.5444956,+49 521 581-0,635500.0,6136
be13aac5-65a0-3247-9711-8588c21c4628,Klinikum Bielefeld Rosenhöhe,An der Rosenhöhe 27,,Nordrhein-westfalen,,51.9823113,8.530265,+49-521-943-50,870850.0,8439
a2f92a79-1d79-3335-a554-b43d55657bb2,Klinikum Gütersloh,Reckenberger Straße 19,Gütersloh,Nordrhein-westfalen,33330,51.8979988,8.3829917,,1375.0,11
94bf3448-21e1-3671-925b-4822c783d97f,Lukas-Krankenhaus,Hindenburgstraße 56,Bünde,Nordrhein-westfalen,32257,52.1975705,8.5935559,,9450.0,76
b794bd15-684a-3128-a8c2-5eb56b7f8cff,Mathilden-Hospital,,Herford,Nordrhein-westfalen,32052,52.1125652,8.6756965,,139900.0,1458
52b4a8e2-08f7-333e-89e6-7066bc5a0fe2,Campus Gesundheit: Ärztehaus Oelmühlenstraße 30,Oelmühlenstraße 30,Bielefeld,Nordrhein-westfalen,33604,52.0156225,8.5449718,,1265000.0,12611
ab077ec4-4e35-3c63-bae4-a0bac10a38c6,Crayen,Goldstraße 52,Oerlinghausen,Nordrhein-westfalen,33813,51.9711377,8.7047867,,35800.0,320
1cf92fc1-f8cb-3be0-a32a-33feed5e2ec2,Kinderärztin Dr. med. Dagmar Müller,Gartnischer Weg 96,Halle (Westfalen),Nordrhein-westfalen,33790,52.0504699,8.3731296,,8000.0,78
4c5bf191-6c11-34e5-9dfb-10149b8aaa1f,Praxisgemeinschaft Avenwedde,Avenwedder Straße 50,Gütersloh,Nordrhein-westfalen,33335,51.9116094,8.4299436,,155475.0,1580
