Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
5c9703e5-3bc1-32c6-b387-2fcb4dd11d64,Evangelisches Diakonissenkrankenhaus Leipzig,Georg-Schwarz-Straße 59,Leipzig,Sachsen,04177,51.3432039,12.3189279,,270850.0,2627
d044fdb3-a85d-3ccc-94cd-bac7ab78db77,Klinik Schkeuditz,Leipziger Straße 45,Schkeuditz,Sachsen,04435,51.3955646,12.2337809,,3225.0,39
c9a82c46-a467-3410-86ad-092bdddaf5e6,Klinik für Pneumologie und Intensivmedizin,Nikolai-Rumjanzew-Straße 100,Leipzig,Sachsen,04207,51.3185012,12.3019232,,21000.0,169
dedd9677-d9b8-33f3-b10a-fb57a5d820d0,St. Elisabeth-Krankenhaus,Biedermannstraße 84,Leipzig,Sachsen,04277,51.3036397,12.3786193,,190200.0,1842
3e6a6db4-6817-3ea9-85f3-41f1b8fb9f81,Universitätsklinikum Leipzig,Liebigstraße 18,Leipzig,Sachsen,04103,51.328644,12.3865487,,427800.0,4028
77d98253-4137-3ef1-97d3-719a4bfd5401,Dr Knoth-Zergiebel,,Taucha,Sachsen,04425,51.3789238,12.4919534,,18775.0,187
d7a9273f-b66f-38ed-ab60-77656eeeedaa,Dr Richter,Leipziger Straße 41,Taucha,Sachsen,04425,51.3790918,12.4919136,,37225.0,383
4ef863ec-781e-3c52-8b23-c1b7f868f8fa,Dr. med Heike Stansch,Marschnerstraße 23,Leipzig,Sachsen,04109,51.3370114,12.3556964,,81375.0,851
b46443de-5073-3588-89ff-4ea947c96b42,Dr. med. Karen Dannemann,Mottelerstraße 15,Leipzig,Sachsen,04155,51.3649353,12.3564774,0341 5642329,475700.0,4759
2a8aa9e8-2a14-3450-a593-7c27fda634dc,Facharztzentrum,,Leipzig,Sachsen,04109,51.3443731,12.3900742,,820225.0,8062
46961db7-95f1-3528-afc6-d834fd92354b,Gemeinschaftspraxis Radiologie und Nuklearmedizin,Telemannstraße 6,Leipzig,Sachsen,04109,51.3273849,12.3661369,,86075.0,893
b1d6e778-ae42-36fb-affd-11bb851d078c,HNO Aust,Hugo-Krone-Platz 9,Leipzig,Sachsen,04158,51.3938605,12.3732171,+49 341 5217129,1005125.0,10254
0bc72cb1-87cf-3249-bf00-b5d228ef5e42,Hausarztpraxis Karsten Bernerth,,Leipzig,Sachsen,04109,51.3462014,12.3598351,,129975.0,1248
4ffa3c28-0af0-36d0-bb3f-cf47ede5444e,Kieferchirurgische Gemeinschaftspraxis Dres. Neubauer  Schreder  Heinrich,Karl-Heine-Straße 24,Leipzig,Sachsen,04177,51.3326226,12.3417428,,168400.0,1701
b114be6c-b778-3ef1-b2e8-48ff8c50d578,Klinik für kosmetische & plastische Chirurgie,Karl-Tauchnitz-Straße 7,Leipzig,Sachsen,04109,51.334433,12.3670137,,82850.0,889
291374df-33b4-3514-86d3-2b533724dd57,Kopfzentrum,,Leipzig,Sachsen,04275,51.3173585,12.3703823,,149500.0,1444
2c911722-57fc-3e80-bd58-78dcde69f6b6,Sachsenklinik,Waldstraße 14,Leipzig,Sachsen,04109,51.3432237,12.3590864,,15650.0,180
2440f425-915c-3b81-b858-b938a19a797e,Ärztehaus,,Leipzig,Sachsen,04209,51.3178425,12.29775,,249350.0,2375
7dcfec97-fe59-32d0-9438-bfbb3145be91,Ärztehaus Grünauer Allee,Grünauer Allee 49,Leipzig,Sachsen,04209,51.3232099,12.302453,,104975.0,1081
f4016de2-ae21-3830-a035-333fb1731b9e,Ärztehaus Straße am Park,Straße am Park 2,Leipzig,Sachsen,04209,51.3164196,12.3046294,,143950.0,1410
f6814004-539d-3a52-ae51-23b7ee8a18ac,Evangelisches Diakonissenkrankenhaus Leipzig,Georg-Schwarz-Straße 59,Leipzig,Sachsen,04177,51.3432039,12.3189279,,162500.0,1303
504c1b17-f688-368b-856d-3b5941bf0668,Klinik Schkeuditz,Leipziger Straße 45,Schkeuditz,Sachsen,04435,51.3955646,12.2337809,,10750.0,86
bb0ba473-def5-35c1-8e40-f7c97bcd2252,St. Elisabeth-Krankenhaus,Biedermannstraße 84,Leipzig,Sachsen,04277,51.3036397,12.3786193,,142125.0,1141
